Region,Subregion or Country,type_geo,"Country, Province or State",Deaths,Month,Day
ASIA,Eastern Asia,state_province,Hubei Province (China),,,
ASIA,Southern Asia,country,Iran (Islamic Republic of),,,
ASIA,Western Asia,country,Turkey,,,
EUROPE,Northern Europe,country,Sweden,,,
EUROPE,Northern Europe,country,United Kingdom,,,
EUROPE,Southern Europe,country,Italy,,,
EUROPE,Southern Europe,country,Spain,,,
EUROPE,Western Europe,country,Belgium,,,
EUROPE,Western Europe,country,France,,,
EUROPE,Western Europe,country,Germany,,,
EUROPE,Western Europe,country,Netherlands,,,
EUROPE,Western Europe,country,Switzerland,,,
LATIN AMERICA & THE CARIBBEAN,South America,country,Brazil,,,
NORTHERN AMERICA,,country,Canada,,,
NORTHERN AMERICA,,country,United States of America,,,
NORTHERN AMERICA,United States of America,state_province,California,,,
NORTHERN AMERICA,United States of America,state_province,Connecticut,,,
NORTHERN AMERICA,United States of America,state_province,Illinois,,,
NORTHERN AMERICA,United States of America,state_province,Louisiana,,,
NORTHERN AMERICA,United States of America,state_province,Massachusetts,,,
NORTHERN AMERICA,United States of America,state_province,Michigan,,,
NORTHERN AMERICA,United States of America,state_province,New Jersey,,,
NORTHERN AMERICA,United States of America,state_province,New York,,,
NORTHERN AMERICA,United States of America,state_province,Pennsylvania,,,
